Latitude,Longitude,Sample Date,platform,diff_days,collection,pixels_water,w_coastal,w_blue,w_green,w_red,w_lwir11,w_mndwi,w_clorofila,w_turbid_ndti,l_nir,l_swir16,l_swir22,l_ndvi,l_ndmi
-33.501667,21.624167,04-01-2011,,,,,,,,,,,,,,,,,
-30.160091,27.40124,06-01-2011,landsat-7,6.0,L2,0.0,,,,,,,,,,,,,
-34.031944,22.053333,19-01-2011,,,,,,,,,,,,,,,,,
-24.679167,30.8025,24-01-2011,landsat-5,9.0,L2,0.0,,,,,,,,,,,,,
-25.49037,30.6986,24-01-2011,landsat-5,9.0,L2,0.0,,,,,,,,,,,,,
-23.281,30.54305556,03-02-2011,landsat-5,1.0,L2,0.0,,,,,,,,,,,,,
-29.140556,31.391944,07-02-2011,landsat-5,3.0,L2,0.0,,,,,,,,,,,,,
-31.396,29.2651,14-02-2011,landsat-5,3.0,L2,0.0,,,,,,,,,,,,,
-22.43772222,31.07805556,18-02-2011,landsat-5,16.0,L2,0.0,,,,,,,,,,,,,
-25.81048333,27.90955222,23-02-2011,landsat-5,2.0,L2,0.0,,,,,,,,,,,,,
-22.769722,30.886944,23-02-2011,landsat-5,21.0,L2,0.0,,,,,,,,,,,,,
-28.44555556,32.325,24-02-2011,landsat-5,4.0,L2,0.0,,,,,,,,,,,,,
-24.183889,30.823889,01-03-2011,landsat-5,27.0,L2,0.0,,,,,,,,,,,,,
-23.658056,31.05,02-03-2011,landsat-5,28.0,L2,0.0,,,,,,,,,,,,,
-25.45963889,28.26430556,08-03-2011,landsat-5,11.0,L2,0.0,,,,,,,,,,,,,
-28.883333,27.89,09-03-2011,landsat-5,12.0,L2,0.0,,,,,,,,,,,,,
-27.398611,26.614722,15-03-2011,landsat-5,21.0,L2,0.0,,,,,,,,,,,,,
-27.495556,26.074722,15-03-2011,landsat-5,21.0,L2,0.0,,,,,,,,,,,,,
-26.880278,26.965,16-03-2011,landsat-5,20.0,L2,0.0,,,,,,,,,,,,,
-26.970278,27.211111,21-03-2011,landsat-5,15.0,L2,0.0,,,,,,,,,,,,,
-27.01011111,26.69808333,22-03-2011,landsat-5,14.0,L2,0.0,,,,,,,,,,,,,
-27.398611,26.614722,22-03-2011,landsat-5,14.0,L2,0.0,,,,,,,,,,,,,
-27.044444,27.005,23-03-2011,landsat-5,13.0,L2,0.0,,,,,,,,,,,,,
-29.160278,26.573333,23-03-2011,landsat-5,13.0,L2,0.0,,,,,,,,,,,,,
-26.98472222,26.63227778,29-03-2011,landsat-5,7.0,L2,0.0,,,,,,,,,,,,,
-28.141944,26.417778,29-03-2011,landsat-5,7.0,L2,0.0,,,,,,,,,,,,,
-28.116667,26.725278,29-03-2011,landsat-5,7.0,L2,0.0,,,,,,,,,,,,,
-27.398611,26.614722,29-03-2011,landsat-5,7.0,L2,0.0,,,,,,,,,,,,,
-29.160278,26.573333,29-03-2011,landsat-5,7.0,L2,0.0,,,,,,,,,,,,,
-27.495556,26.074722,29-03-2011,landsat-5,7.0,L2,0.0,,,,,,,,,,,,,
-26.880278,26.965,30-03-2011,landsat-5,6.0,L2,0.0,,,,,,,,,,,,,
-27.398611,26.614722,30-03-2011,landsat-5,6.0,L2,0.0,,,,,,,,,,,,,
-22.769722,30.886944,01-04-2011,landsat-5,6.0,L2,0.0,,,,,,,,,,,,,
-27.5275,30.858056,02-04-2011,,,,,,,,,,,,,,,,,
-25.99136,27.84208,04-04-2011,,,,,,,,,,,,,,,,,
-27.398611,26.614722,05-04-2011,,,,,,,,,,,,,,,,,
-25.45963889,28.26430556,05-04-2011,,,,,,,,,,,,,,,,,
-25.81048333,27.90955222,06-04-2011,,,,,,,,,,,,,,,,,
-26.880278,26.965,06-04-2011,landsat-5,1.0,L2,0.0,,,,,,,,,,,,,
-27.02314,28.59389,07-04-2011,landsat-5,7.0,L2,0.0,,,,,,,,,,,,,
-26.45,28.085833,11-04-2011,landsat-5,3.0,L2,0.0,,,,,,,,,,,,,
