nir,green,swir16,swir22,coastal,blue,red,lwir11
11190.0,11426.0,7687.5,7645.0,,9557.0,12802.0,
17658.5,9550.0,13746.5,10574.0,,8691.0,9241.5,
15210.0,10720.0,17974.0,14201.0,,9502.5,12540.0,
22506.5,17609.5,19994.0,18637.0,,16789.5,17986.5,
,,,,,,,
15022.5,10741.0,10585.5,8962.0,,10109.5,10900.0,
7814.0,5189.5,6664.0,5222.0,,4984.0,5122.0,
14137.5,10466.5,10315.5,8536.0,,10039.0,9985.0,
15543.0,10647.0,11919.5,9642.5,,9921.0,10524.0,
10464.5,10697.5,8177.0,7864.5,,9763.0,11162.5,
14886.0,10544.5,10158.5,8600.5,,9285.0,10775.5,
10411.0,8569.5,8737.5,8111.0,,8360.0,8422.5,
,,,,,,,
17653.0,13104.0,19330.0,16984.0,,10579.0,14613.0,
13959.0,9926.0,15156.5,12552.5,,9139.0,11096.0,
,,,,,,,
19310.5,9597.0,12954.5,9447.5,,8535.0,8963.5,
11076.0,10352.0,7909.0,7729.5,,9549.0,10779.0,
15218.0,12371.5,14291.0,12090.0,,11841.0,12765.5,
25037.5,19133.5,22864.5,19121.5,,17701.0,19154.5,
12845.0,9640.0,10285.5,9020.0,,8889.0,9638.0,
13724.0,9691.0,13005.5,10754.5,,8743.0,9947.0,
11490.5,9969.5,10372.5,9135.0,,8893.0,10129.0,
10973.5,8966.5,7961.0,7748.0,,8518.5,9016.0,
15444.5,10740.0,15113.5,11890.5,,9521.0,11418.5,
15218.5,10334.0,14735.0,12208.5,,9227.5,10903.5,
18631.5,11771.5,16495.0,12815.0,,10629.0,11898.0,
9089.5,9167.0,7963.0,7740.0,,8719.0,8961.0,
15210.0,10720.0,17974.0,14201.0,,9502.5,12540.0,
14558.0,10724.5,11450.0,10000.5,,9396.0,11634.0,
,,,,,,,
15022.5,10741.0,10585.5,8962.0,,10109.5,10900.0,
21914.0,17765.0,22170.5,17965.5,,16362.5,17879.5,
10464.5,10697.5,8177.0,7864.5,,9763.0,11162.5,
10411.0,8569.5,8737.5,8111.0,,8360.0,8422.5,
22506.5,17609.5,19994.0,18637.0,,16789.5,17986.5,
15215.0,9791.0,13390.0,11085.5,,8892.0,9761.0,
12323.0,9019.0,13161.0,10800.5,,8456.0,9192.0,
13959.0,9926.0,15156.5,12552.5,,9139.0,11096.0,
16870.5,9753.0,13408.0,10257.0,,8693.0,9553.5,
12333.0,9060.0,9264.5,8181.0,,8456.5,9407.5,
16767.0,10794.0,18026.5,15340.5,,9231.0,11296.0,
16227.0,9491.0,12407.5,9783.0,,8787.0,9408.0,
13724.0,9691.0,13005.5,10754.5,,8743.0,9947.0,
11490.5,9969.5,10372.5,9135.0,,8893.0,10129.0,
14489.5,10561.0,14940.5,12882.0,,9715.0,10916.5,
14599.0,12046.5,12067.0,11038.5,,10832.0,13063.0,
27608.5,65535.0,65535.0,23743.0,,65535.0,65535.0,
11190.0,11426.0,7687.5,7645.0,,9557.0,12802.0,
17837.5,9732.0,13539.0,10302.0,,8666.5,9507.0,
17658.5,9550.0,13746.5,10574.0,,8691.0,9241.5,
20186.5,11261.0,14131.0,10876.0,,10825.5,10833.0,
14514.0,9326.0,12189.5,9706.0,,8452.5,9431.0,
7814.0,5189.5,6664.0,5222.0,,4984.0,5122.0,
14137.5,10466.5,10315.5,8536.0,,10039.0,9985.0,
15543.0,10647.0,11919.5,9642.5,,9921.0,10524.0,
33388.5,29331.0,65535.0,27147.0,,65535.0,29783.5,
12128.5,9803.5,9325.0,8486.0,,8857.5,9811.5,
10411.0,8569.5,8737.5,8111.0,,8360.0,8422.5,
,,,,,,,
13604.0,11142.5,8819.0,8402.0,,9865.0,12570.0,
15820.0,10665.5,16377.5,13975.0,,9572.0,11320.5,
13162.5,9546.5,12786.0,10889.0,,8765.0,9965.0,
,,,,,,,
,,,,,,,
11076.0,10352.0,7909.0,7729.5,,9549.0,10779.0,
11613.0,12114.0,8402.0,7982.0,,10960.0,12663.0,
12333.0,9060.0,9264.5,8181.0,,8456.5,9407.5,
14954.0,9636.0,14753.0,11537.5,,8561.0,9929.5,
25037.5,19133.5,22864.5,19121.5,,17701.0,19154.5,
16880.0,9196.5,12987.5,10366.5,,8429.5,8964.5,
,,,,,,,
11058.0,8314.0,11065.0,9696.0,,8114.0,8461.0,
15187.0,11456.5,14527.0,12799.0,,9873.5,12122.5,
14270.0,9913.0,13652.0,11469.5,,8918.0,10330.5,
13560.0,10076.0,16388.0,13014.0,,9017.0,11586.5,
,,,,,,,
11490.5,9969.5,10372.5,9135.0,,8893.0,10129.0,
14428.5,10934.0,8301.5,7932.0,,10019.5,12350.0,
14599.0,12046.5,12067.0,11038.5,,10832.0,13063.0,
,,,,,,,
13185.0,9112.0,13904.5,11277.0,,8655.0,9276.5,
14599.0,12046.5,12067.0,11038.5,,10832.0,13063.0,
14293.5,9537.0,13638.0,11155.5,,8681.0,9723.0,
18631.5,11771.5,16495.0,12815.0,,10629.0,11898.0,
10676.0,8325.0,8915.5,8274.0,,8148.5,8241.5,
11076.0,10352.0,7909.0,7729.5,,9549.0,10779.0,
22506.5,17609.5,19994.0,18637.0,,16789.5,17986.5,
,,,,,,,
15022.5,10741.0,10585.5,8962.0,,10109.5,10900.0,
10464.5,10697.5,8177.0,7864.5,,9763.0,11162.5,
