Latitude,Longitude,Sample Date,q,ppt,pet,soil,pdsi,tmax,tmin,Saline_Index,Runoff_Ratio,Chemical_Solubility
-28.760833,17.730278,02-01-2011,1.6,32.7,174.2,0.0,3.6499999,36.1,22.689999,0.6839052635828278,0.048929663608413054,29.394999
-26.861111,28.884722,03-01-2011,2.6,51.1,124.1,12.8,0.65999997,27.16,13.219999,0.4166666615859721,0.05088062622299241,20.189999
-26.45,28.085833,03-01-2011,3.1,62.7,127.5,6.8,-1.16,27.519999,14.09,0.3406940063089692,0.04944178628381269,20.805
-27.671111,27.236944,03-01-2011,4.2,84.2,129.7,7.2000003,2.84,28.869999,14.639999,0.2127162113014459,0.049881235154335055,21.755
-27.356667,27.286389,03-01-2011,3.9000000000000004,78.0,129.2,7.8,2.6499999,28.67,14.69,0.24710423601505677,0.0499999999999359,21.68
-27.01011111,26.69808333,04-01-2011,5.300000000000001,106.0,98.6,5.9,3.0,24.18,9.809999,-0.036168140669909546,0.04999999999995284,16.994999
-25.127778,27.628889,04-01-2011,6.800000000000001,135.1,105.5,24.0,2.0,27.17,12.62,-0.12302576891100454,0.05033308660247941,19.895
-25.20639,27.558,04-01-2011,7.2,143.4,103.700005,33.600002,1.9599999,27.0,12.5199995,-0.16066367740545234,0.050209205020885495,19.76
-24.69514,27.40906,04-01-2011,7.1000000000000005,141.1,111.8,23.6,2.01,27.74,13.49,-0.11585605612758393,0.05031892274978717,20.615
-26.98472222,26.63227778,04-01-2011,5.5,109.30000000000001,98.200005,10.7,2.98,24.35,9.98,-0.053493952662564154,0.05032021957909394,17.165
-28.141944,26.417778,04-01-2011,4.5,90.9,93.8,4.8,3.82,23.88,8.78,0.015701153242231293,0.04950495049499504,16.33
-27.398611,26.614722,04-01-2011,4.9,97.2,100.9,2.9,3.22,24.8,9.87,0.018677443197261584,0.050411522633692994,17.335
-33.501667,21.624167,04-01-2011,0.8,16.3,100.200005,0.1,-3.02,24.55,9.33,0.7201716848144236,0.049079754600925896,16.939999
