,Latitude,Longitude
0,-28.760833,17.730278
1,-26.861111,28.884722
2,-26.45,28.085833
3,-27.671111,27.236944
4,-27.356667,27.286389
5,-27.01011111,26.69808333
7,-25.20639,27.558
11,-27.398611,26.614722
13,-32.502778,19.535833
15,-27.495556,26.074722
16,-26.648056,27.089444
17,-26.970278,27.211111
20,-30.830556,26.921389
21,-27.00222,28.76528
22,-27.02314,28.59389
23,-30.679722,26.7125
24,-30.160091,27.40124
25,-32.595833,19.009444
26,-25.99136,27.84208
27,-26.73806,27.59194
28,-26.45,28.085833
29,-30.86013889,29.07125
30,-27.356667,27.286389
31,-27.01011111,26.69808333
32,-25.73411,27.21422
34,-27.398611,26.614722
35,-27.671111,27.236944
36,-29.160278,26.573333
37,-34.250556,20.9925
39,-25.81048333,27.90955222
40,-27.273889,28.49
41,-27.4275,28.525833
42,-28.883333,27.89
43,-27.00222,28.76528
44,-27.02314,28.59389
45,-30.534167,24.961944
47,-29.658056,25.973333
48,-28.760833,17.730278
49,-25.513889,31.224444
50,-26.861111,28.884722
51,-31.554722,29.245556
52,-28.058889,30.373611
54,-25.20639,27.558
56,-25.681111,31.783333
57,-27.802778,28.768333
58,-27.398611,26.614722
59,-31.104278,29.399722
60,-31.396,29.2651
61,-33.38056,19.30167
62,-33.31388889,19.07472222
63,-27.495556,26.074722
65,-26.970278,27.211111
66,-26.880278,26.965
67,-27.273889,28.49
68,-27.3,28.586944
70,-30.568333,29.422778
71,-30.570833,29.150556
72,-34.031944,22.053333
73,-33.13083,18.86278
74,-33.7075,18.97444444
75,-25.57877778,29.12747222
76,-26.006389,29.253889
77,-27.02314,28.59389
78,-30.679722,26.7125
80,-30.77586667,29.03221667
81,-24.925278,29.324444
83,-24.679167,30.8025
84,-25.99136,27.84208
85,-25.49037,30.6986
86,-26.970278,27.211111
87,-27.671111,27.236944
88,-27.356667,27.286389
89,-27.01011111,26.69808333
91,-27.398611,26.614722
92,-33.818056,19.694722
94,-33.897778,20.012778
95,-25.81048333,27.90955222
96,-34.065833,20.404167
98,-26.648056,27.089444
99,-26.880278,26.965
100,-27.273889,28.49
103,-27.02314,28.59389
104,-26.73806,27.59194
105,-28.760833,17.730278
106,-26.861111,28.884722
107,-26.73806,27.59194
110,-27.363611,31.783333
111,-27.802778,28.768333
112,-29.160278,26.573333
113,-34.329722,18.990278
114,-25.20639,27.558
115,-23.281,30.54305556
116,-28.801278,31.955389
117,-27.00222,28.76528
118,-27.02314,28.59389
119,-27.3,28.586944
120,-30.679722,26.7125
124,-25.99136,27.84208
126,-26.73806,27.59194
127,-30.86013889,29.07125
128,-27.356667,27.286389
129,-28.058889,30.373611
130,-27.01011111,26.69808333
133,-27.398611,26.614722
134,-27.573056,24.746389
136,-32.502778,19.535833
138,-26.970278,27.211111
139,-27.273889,28.49
140,-28.69485,28.23487
141,-28.883333,27.89
142,-27.02314,28.59389
143,-30.679722,26.7125
144,-30.534167,24.961944
145,-34.031944,22.053333
146,-34.039722,22.133333
147,-32.595833,19.009444
148,-28.801278,31.955389
149,-29.658056,25.973333
151,-28.760833,17.730278
152,-29.7775,29.470833
153,-29.987778,29.851667
154,-29.744167,29.905833
155,-26.861111,28.884722
156,-26.45,28.085833
157,-31.396,29.2651
158,-25.20639,27.558
160,-26.006389,29.253889
161,-27.802778,28.768333
162,-27.398611,26.614722
